_timestamp,loss_boundary,loss_interior,loss,time,l2_error,step,_step,_runtime
1723045706.0546849,2.7664645100319722,0.00037414547225684495,2.766838655504229,38.008086919784546,1.8407780381148406,0,0,38.80034780502319
1723045742.8826401,2.6854991522457663,0.0005240428821450825,2.686023195127911,75.21745586395264,1.2830590674291003,1,1,75.62830305099487
1723045779.7634008,0.7717109772065758,0.5526513043667806,1.3243622815733564,112.0986316204071,1.234253069741057,2,2,112.50906372070312
1723045816.5407453,0.726202780112236,0.43539418890606,1.1615969690182961,148.8754141330719,0.9846770822010127,3,3,149.28640818595886
1723045853.5492918,0.4854811628655513,0.06569802565003978,0.5511791885155911,185.88426971435547,0.6981126283743245,4,4,186.29495477676392
1723045890.6777554,0.29112713421336084,0.006140245954695982,0.2972673801680568,223.01240468025208,0.2719774495058033,5,5,223.42341828346252
1723045927.8952444,0.035043329838279104,0.016787469275118393,0.0518307991133975,260.23029232025146,0.05938310857331398,6,6,260.64090728759766
1723045965.283884,0.002027016410250646,0.000173743105285124,0.00220075951553577,297.618670463562,0.007497235223995275,7,7,298.0295469760895
1723046002.8943033,4.5740114932362726e-05,3.1586254537399505e-05,7.732636946976222e-05,335.2290952205658,0.005544148718121104,8,8,335.63996624946594
1723046040.1280882,1.4725568800840032e-05,3.7809705214336957e-06,1.850653932227373e-05,372.4627892971039,0.0022709465311464053,9,9,372.87375116348267
1723046077.2658439,5.089422042771687e-06,2.490942603442378e-06,7.580364646214065e-06,409.60048484802246,0.0016682470035948613,10,10,410.0115067958832
1723046114.215485,2.5910351234561466e-06,1.893331464138507e-06,4.484366587594653e-06,446.55039858818054,0.0016694960066894068,11,11,446.96114802360535
1723046151.3470633,2.0690136137316875e-06,1.402999327283397e-06,3.4720129410150846e-06,483.68194603919983,0.0011198253383585364,12,12,484.09272623062134
1723046188.4489577,1.578800290137243e-06,7.862026857464756e-07,2.3650029758837185e-06,520.7836458683014,0.0010671235546658485,13,13,521.1946206092834
1723046225.6254282,8.497464429757563e-07,7.562343220998605e-07,1.6059807650756167e-06,557.960147857666,0.0009930939579153853,14,14,558.3710911273956
1723046262.7868268,9.488721991036531e-07,6.325792077037909e-07,1.581451406807444e-06,595.1216456890106,0.00085667869910666,15,15,595.5324897766113
1723046299.7949436,7.910281640145801e-07,5.819084408667888e-07,1.372936604881369e-06,632.1298933029175,0.0007648067315152637,16,16,632.5406064987183
1723046336.778938,4.629238648971171e-07,4.2738632902204476e-07,8.903101939191618e-07,669.1139299869537,0.0007062342091784722,17,17,669.524600982666
1723046373.8962698,4.5506227140482265e-07,3.423294225599994e-07,7.97391693964822e-07,706.2309453487396,0.000751874507574614,18,18,706.6419327259064
1723046410.9635038,4.191572540163982e-07,2.952032535520147e-07,7.143605075684129e-07,743.2981851100922,0.0006138697473652674,19,19,743.709166765213
1723046447.882719,3.4492636933549584e-07,2.8801423673652057e-07,6.329406060720165e-07,780.2177546024323,0.0006011636041851219,20,20,780.6283819675446
1723046485.0231488,3.2523659709189636e-07,2.616052246860997e-07,5.868418217779961e-07,817.3580069541931,0.0006034710264837146,21,21,817.7688117027283
1723046521.9435828,2.7279123490704727e-07,2.3267366699112068e-07,5.054649018981679e-07,854.2783854007721,0.0005541611971752119,22,22,854.6892457008362
1723046558.9582434,2.609458686297564e-07,2.2785021301580775e-07,4.887960816455642e-07,891.2930467128754,0.0005108715977370815,23,23,891.7039062976837
1723046596.036198,2.360873416394505e-07,2.0089028613464094e-07,4.3697762777409145e-07,928.3709156513214,0.00048592791172672725,24,24,928.7818608283997
1723046633.0886118,1.974037567146331e-07,2.074787476224684e-07,4.048825043371015e-07,965.4236724376678,0.0005400910562227102,25,25,965.8342747688293
1723046670.4873807,1.976673822338276e-07,1.9868642003898564e-07,3.9635380227281327e-07,1002.8223562240601,0.00044059648144373863,26,26,1003.2330436706543
1723046707.653879,1.6067279583793094e-07,1.5417956050175356e-07,3.1485235633968447e-07,1039.9888398647308,0.00047765063878876996,27,27,1040.3995418548584
1723046744.8222458,1.9774694662686576e-07,1.5042607977159801e-07,3.4817302639846377e-07,1077.1570041179657,0.00041128852299532077,28,28,1077.5679087638855
1723046782.0808566,1.3731175130853893e-07,1.4366285879185965e-07,2.8097461010039855e-07,1114.4156348705292,0.00036094150219746063,29,29,1114.8265194892883
1723046819.407194,1.6898514926862142e-07,1.2843493196529676e-07,2.974200812339182e-07,1151.742222070694,0.0003391505355273502,30,30,1152.1528568267822
1723046856.402999,1.2015284329349005e-07,1.2207171494827078e-07,2.422245582417608e-07,1188.7379977703094,0.0003828877722051919,31,31,1189.148661851883
1723046893.4105003,1.2422950662418435e-07,1.1456193042758701e-07,2.3879143705177135e-07,1225.745216369629,0.0003073269829971242,32,32,1226.1561632156372
1723046930.4168456,9.446817288130128e-08,1.0773402212136556e-07,2.0220219500266685e-07,1262.7516882419586,0.0003038876541204727,33,33,1263.1625084877014
1723046967.3070445,8.268046388392372e-08,9.859547860623393e-08,1.8127594249015763e-07,1299.6418380737305,0.0003420849366933845,34,34,1300.0527074337006
1723047004.3722322,8.995749907541144e-08,9.482083014531015e-08,1.8477832922072158e-07,1336.7071621418,0.0002780049656577409,35,35,1337.1178951263428
1723047041.496272,6.84032434541981e-08,9.693197347275125e-08,1.6533521692694935e-07,1373.8312063217163,0.0002974764740112082,36,36,1374.2419350147247
1723047078.7671802,6.552289648788e-08,1.0267656356175076e-07,1.6819946004963077e-07,1411.1019639968872,0.0002699945279700938,37,37,1411.512843132019
1723047115.8948255,6.836219232559221e-08,8.769932310161837e-08,1.5606151542721057e-07,1448.2293829917908,0.00025269388954016425,38,38,1448.6404883861542
1723047153.1096735,7.139691231583869e-08,7.960190156087529e-08,1.5099881387671399e-07,1485.4446094036102,0.0002647196494026952,39,39,1485.8553364276886
1723047190.2425017,7.132649274969022e-08,9.220521116644969e-08,1.635317039161399e-07,1522.5775210857391,0.0002817250670755459,40,40,1522.9881646633148
1723047264.8488452,5.0365711437105946e-08,7.94928466369692e-08,1.2985855807407516e-07,1597.1836395263672,0.0002592413807679283,42,41,1597.5945081710815
1723047413.159272,4.378035562400082e-08,7.830674640224961e-08,1.2208710202625042e-07,1745.4941110610962,0.0002140823648057629,46,42,1745.9049348831177
1723047560.9583614,4.024476000954597e-08,6.9909371241501e-08,1.1015413125104697e-07,1893.2931089401245,0.0002006438843502952,50,43,1893.7040243148804
1723047746.4475737,2.670184837404531e-08,5.3448021406169345e-08,8.014986978021466e-08,2078.78227186203,0.00015985493369039065,55,44,2079.1932365894318
1723047968.880635,2.738906156933216e-08,4.5466836361435067e-08,7.285589793076723e-08,2301.215579509735,0.00018932315115335294,61,45,2301.6262979507446
1723048192.2043378,2.2415636406485788e-08,3.907936033525187e-08,6.149499674173767e-08,2524.539001226425,0.0001705119638984824,67,46,2524.9500007629395
1723048415.275621,2.1976433734926132e-08,3.95514641754414e-08,6.152789791036752e-08,2747.6103944778442,0.0001520431815852542,73,47,2748.021283864975
1723048674.7627392,1.7822872526190763e-08,3.4229789465437734e-08,5.2052661991628497e-08,3007.0964920520782,0.00015346327106419478,80,48,3007.508402109146
