loss_boundary,_runtime,loss_interior,loss,time,_step,l2_error,_timestamp,step
3.2617973017784463,2.9347469806671143,0.001954453830865279,3.2637517556093116,1.2946488857269287,0,0.5897230578475182,1723045654.4495149,0
0.4088638891440119,3.3805956840515137,0.009611162319181457,0.41847505146319336,2.0329384803771973,1,0.5745956888216489,1723045654.8953636,1
0.4283078916748361,3.7880377769470215,0.0028961248901539266,0.4312040165649901,2.4403820037841797,2,0.5245043072385739,1723045655.3028057,2
0.35975303353193927,4.349048137664795,0.014481334637663396,0.37423436816960265,3.0010874271392822,3,0.38847684061684573,1723045655.863816,3
0.06658356296918687,5.075024604797363,0.024218494480269165,0.09080205744945603,3.727174997329712,4,0.17566421768725887,1723045656.5897925,4
0.05886263820303407,5.659817695617676,0.027514172163366015,0.08637681036640009,4.3119049072265625,5,0.2349503454747715,1723045657.1745856,5
0.07009552550039305,6.574213981628418,0.011597259975326527,0.08169278547571958,5.224814414978027,6,0.17520842163614872,1723045658.0889819,6
0.022411027465061233,7.549325227737427,0.0014290919842881804,0.023840119449349412,6.200892448425293,7,0.04444393835019163,1723045659.064093,7
0.0010293312813226272,9.170148611068726,0.0012017002345631354,0.0022310315158857626,7.822051048278809,8,0.017065032880161642,1723045660.6849165,8
0.00021166033228914947,10.196881294250488,0.0004732945054013331,0.0006849548376904826,8.848834037780762,9,0.020111550435467546,1723045661.7116492,9
0.0003292886297809283,11.887211322784424,0.00014938116900148045,0.00047866979878240874,10.539156198501587,10,0.011194419804515155,1723045663.4019792,10
0.00010174137099680993,13.588561296463013,4.6573685787340425e-05,0.00014831505678415034,12.240302085876465,11,0.010199600434061134,1723045665.1033292,11
8.33679446526891e-05,15.991331100463867,4.9865511027098965e-05,0.00013323345567978805,14.642862319946289,12,0.007730859762126539,1723045667.506099,12
5.59147015123103e-05,18.585968255996704,2.2488742413372226e-05,7.840344392568252e-05,17.237868547439575,13,0.0093824028182242,1723045670.1007361,13
5.346858728264586e-05,20.27119493484497,1.6162005221556984e-05,6.963059250420284e-05,18.9231014251709,14,0.008184579240989856,1723045671.7859628,14
4.794867598766541e-05,22.051163911819458,1.6800822402870723e-05,6.474949839053613e-05,20.702722787857056,15,0.007603722547333319,1723045673.5659318,15
3.3271883211196995e-05,25.127936840057373,1.966833006017006e-05,5.2940213271367056e-05,23.779794454574585,16,0.007683838588509944,1723045676.6427047,16
3.22325872321388e-05,26.17716956138611,1.754710767138925e-05,4.977969490352806e-05,24.82909631729126,17,0.00797757367816363,1723045677.6919374,17
3.899468634709192e-05,27.877404928207397,1.3524078416329585e-05,5.25187647634215e-05,26.529340744018555,18,0.008183687978099064,1723045679.3921728,18
3.5558383817277075e-05,29.721835613250732,1.0702732579424806e-05,4.6261116396701884e-05,28.37368679046631,19,0.008197960877331656,1723045681.2366035,19
3.5846808314243476e-05,31.4164137840271,8.299100068051667e-06,4.414590838229514e-05,30.068131923675537,20,0.008064746497005528,1723045682.9311817,20
3.5954434184774067e-05,32.86661124229431,6.863013192178175e-06,4.281744737695224e-05,31.51842975616455,21,0.007852405997153386,1723045684.3813791,21
3.511304477643975e-05,33.88575291633606,5.637622539026743e-06,4.07506673154665e-05,32.537678956985474,22,0.00776435415899315,1723045685.4005208,22
3.43841125995792e-05,34.833203077316284,4.775784667408493e-06,3.915989726698769e-05,33.485116720199585,23,0.00760833115297749,1723045686.347971,23
3.2839117696230395e-05,35.79918694496155,4.843439015534123e-06,3.768255671176452e-05,34.45107126235962,24,0.007186526553886998,1723045687.3139548,24
2.9947177552040022e-05,36.89352321624756,4.8616290913761325e-06,3.4808806643416155e-05,35.54544234275818,25,0.00680469004194123,1723045688.408291,25
2.7262914245572755e-05,41.864036321640015,5.386884792174062e-06,3.2649799037746815e-05,40.51463508605957,26,0.004478031024287437,1723045693.3788042,26
1.3525707120940966e-05,42.85185170173645,1.24042066929678e-05,2.5929913813908768e-05,41.50377535820007,27,0.0033251981640287196,1723045694.3666196,27
8.953591459740997e-06,44.32789063453674,1.6328556100135508e-05,2.5282147559876505e-05,42.97883939743042,28,0.0024437834969595154,1723045695.8426585,28
4.690010021517527e-06,46.017725229263306,1.827346708206822e-05,2.2963477103585748e-05,44.669541358947754,29,0.0020695356824915264,1723045697.532493,29
3.8881689005697226e-06,47.681077003479004,1.89742009020573e-05,2.2862369802627023e-05,46.33290719985962,30,0.0018922367398828193,1723045699.195845,30
3.7987134082421914e-06,52.64694786071777,1.7514824825658504e-05,2.1313538233900697e-05,51.298784255981445,31,0.0018971105923382913,1723045704.1617157,31
3.5091279952477305e-06,53.58834624290466,1.63313512274074e-05,1.9840479222655133e-05,52.240296363830566,32,0.00290086169971425,1723045705.1031141,32
7.813512085089993e-06,54.45298194885254,1.0609384332239075e-05,1.8422896417329066e-05,53.10490298271179,33,0.0032353515435137718,1723045705.9677498,33
9.429546065165591e-06,55.46940231323242,7.434144572451325e-06,1.6863690637616918e-05,54.1213436126709,34,0.0036889345590485293,1723045706.9841702,34
1.0958620270913007e-05,56.427088260650635,5.648512381731677e-06,1.6607132652644686e-05,55.079039573669434,35,0.003796412300153926,1723045707.9418561,35
1.0974277352668249e-05,57.465452671051025,4.173382651651553e-06,1.5147660004319802e-05,56.117366313934326,36,0.003693629526662858,1723045708.9802206,36
1.0468723345993934e-05,62.441293716430664,3.1003254597617248e-06,1.356904880575566e-05,61.09307384490967,37,0.0023982265480129803,1723045713.9560616,37
4.774629203710272e-06,63.467403411865234,5.231418744074378e-06,1.000604794778465e-05,62.11923313140869,38,0.002888417116715988,1723045714.9821713,38
5.48594835757391e-06,65.03668785095215,4.429790471043534e-06,9.915738828617444e-06,63.68860960006714,39,0.0033331875369061025,1723045716.5514557,39
5.961763274914287e-06,69.44741082191467,3.473719056998595e-06,9.435482331912881e-06,68.09925436973572,40,0.002703956670508591,1723045720.9621787,40
3.5951512341646867e-06,72.108069896698,3.4523618445478353e-06,7.0475130787125225e-06,70.75976967811584,41,0.0018033856911019457,1723045723.6228378,42
1.8132552977168133e-06,83.77698802947998,2.3726376273072754e-06,4.1858929250240884e-06,82.4282476902008,42,0.0013960165553874005,1723045735.291756,46
1.2332141562168597e-06,92.42399406433105,1.5974736408990982e-06,2.830687797115958e-06,91.07586002349854,43,0.0011051073498365546,1723045743.938762,50
5.689401086686239e-07,107.3611900806427,3.234019844898652e-07,8.92342093158489e-07,106.01290225982666,44,0.0007863467546024715,1723045758.875958,55
1.007127019484107e-07,133.90149402618408,1.8053856803247423e-07,2.812512699808849e-07,132.553071975708,45,0.0005365405037909679,1723045785.416262,61
3.885847827448317e-08,157.942125082016,7.848618586659453e-08,1.173446641410777e-07,156.59388971328735,46,0.00023058389194222735,1723045809.456893,67
3.817398025395059e-08,185.4265570640564,6.567513009360886e-08,1.0384911034755945e-07,184.07821464538574,47,0.00020410632366293935,1723045836.941325,73
2.8427420509701826e-08,220.34581112861633,5.053281444274178e-08,7.89602349524436e-08,218.99722361564636,48,0.00018356272785937028,1723045871.860579,81
2.207284130142339e-08,246.99010133743286,4.7671256431827e-08,6.974409773325039e-08,245.6416153907776,49,0.00015023980533099792,1723045898.5048692,89
1.5276336317134977e-08,289.76396203041077,3.40777641794692e-08,4.935410049660418e-08,288.415643453598,50,9.1391476436444e-05,1723045941.27873,98
1.0190589217038359e-08,331.4920427799225,2.5654681608156823e-08,3.584527082519518e-08,330.1436505317688,51,0.0001067251165849891,1723045983.0068107,107
2.8921144229570806e-09,386.3292531967163,1.135016608500373e-08,1.424228050796081e-08,384.98078298568726,52,7.416685341960317e-05,1723046037.844021,118
2.3237173581178044e-09,445.83744072914124,6.949330940112693e-09,9.273048298230497e-09,444.4889073371887,53,4.8464014482776126e-05,1723046097.3522086,130
1.5207147057489738e-09,510.22267723083496,5.4219450699188396e-09,6.9426597756678135e-09,508.87418127059937,54,4.024098027802475e-05,1723046161.737445,143
1.098137012708437e-09,579.5949013233185,4.199293187308452e-09,5.297430200016889e-09,578.2463800907135,55,3.6793881881215065e-05,1723046231.1096692,157
8.336947568538184e-10,654.0275256633759,3.5080239188274737e-09,4.341718675681292e-09,652.6790707111359,56,3.341618505525861e-05,1723046305.5422935,172
8.079999268005722e-10,743.1295845508575,3.0717590305119576e-09,3.87975895731253e-09,741.7811744213104,57,3.093736782441161e-05,1723046394.6443524,190
6.770674569288659e-10,832.2718832492828,2.548253700187381e-09,3.225321157116247e-09,830.9235327243805,58,2.8222895350364835e-05,1723046483.7866511,208
6.362097946186184e-10,936.1209089756012,2.218394406594477e-09,2.8546042012130953e-09,934.7725129127502,59,2.6775574901472697e-05,1723046587.6356769,229
6.636279309612293e-10,1049.9472243785858,1.9500569899296903e-09,2.6136849208909194e-09,1048.5988183021545,60,2.9462117867644234e-05,1723046701.4619923,252
5.252301653419903e-10,1173.5651433467865,1.6872079726190286e-09,2.212438137961019e-09,1172.2168040275574,61,2.376353761875366e-05,1723046825.0799112,277
4.466784623320483e-10,1312.2427265644073,1.5040534869538994e-09,1.9507319492859477e-09,1310.8943417072296,62,2.229770662252475e-05,1723046963.7574944,305
4.437455437176788e-10,1460.6752977371216,1.3717257731526851e-09,1.815471316870364e-09,1459.3268325328827,63,2.4873719572668056e-05,1723047112.1900656,335
3.9076784631048457e-10,1629.2063620090485,1.2173710181214837e-09,1.6081388644319683e-09,1627.858022928238,64,2.116588611801578e-05,1723047280.72113,369
3.003484013807491e-10,1812.951708316803,1.1176648689175575e-09,1.4180132702983066e-09,1811.6032671928406,65,2.1585504366487354e-05,1723047464.4664762,406
3.164981377826848e-10,2010.5400652885437,1.0846736564484855e-09,1.4011717942311702e-09,2009.1916844844818,66,1.978747925555327e-05,1723047662.0548332,446
2.9858483859894926e-10,2232.8302521705627,9.48911093569666e-10,1.2474959321686152e-09,2231.480655193329,67,1.8022906163765136e-05,1723047884.34502,491
3.106166848101996e-10,2474.870939731598,8.125950807176413e-10,1.123211765527841e-09,2473.5225687026978,68,1.87021539676784e-05,1723048126.3857076,540
2.6215544829061477e-10,2741.3188354969025,7.65274377649342e-10,1.0274298259399567e-09,2739.970452308655,69,1.706655193281654e-05,1723048392.8336034,594
2.2404661266445483e-10,3002.8000633716583,6.754942395231962e-10,8.99540852187651e-10,3001.4507689476013,70,1.6485503742565438e-05,1723048654.3148313,647
